system_label,Element,Config,HOMO,LUMO,Gap,Fermi,E_total,E_bare,E_H2sys,Eads_perp,Eads_par,IP,EA,chi,eta,omega,InGap_N,InGap_E1,mu,S,omega_minus,omega_plus,delta_N_max,T50_perp,DOE_compliant_perp,theta_1bar_perp,theta_10bar_perp,theta_20bar_perp,T50_par,DOE_compliant_par,theta_1bar_par,theta_10bar_par,theta_20bar_par,Q_dop,s_pop,p_pop,d_pop,Avg_Q_O_bare,Avg_Q_Ti_bare,Q_H2_total,Q_H1,Q_H2atom,abs_delta_Q_HH,atomic_number_ml,OS_Ti_site,Delta_q,d_count,VE,abs_Delta_q,dop_O_mean,dop_O_min,dop_O_max,dop_O_std,coord_number_O,dop_displacement,nearest_Ti_dist,hh_distance,dop_h2_distance,h2_tilt_angle,has_H2,dos_at_fermi,band_center,band_width,vb_edge,cb_edge,dos_gap,dos_integrated_below_fermi,dos_peak_energy,dos_asymmetry,ionic_radius_mismatch,goldschmidt_proxy,el_atomic_number,mass,pauling_en,covalent_radius_pm,atomic_radius_pm,d_electrons,ionization_energy_1_eV,electron_affinity_eV,period,group,common_os,delta_Gap,delta_HOMO,delta_LUMO,delta_Fermi,delta_chi,delta_eta,delta_omega,delta_S,delta_InGap_N,delta_Q_dop,delta_d_pop,delta_s_pop,delta_p_pop,Q_dop_bare,d_pop_bare,kubas_candidate,Eads,H2_dissociated,DOE_compliant
pristine-TiO2,pristine,bare,-8.116,-4.5332,3.5828,-6.3246,-18931.4702,-18931.4702,-18951.248,-0.351,-0.5008,8.116,4.5332,6.3246,1.7914,11.16461012615831,614,-9.1172,-6.3246,0.2791113095902646,18.38491012615831,5.735710126158311,1.765267388634588,451.53,0.0,0.99051,0.99904,0.99952,644.23,0.0,0.99997,1.0,1.0,2.86422598,0.22960476,0.25697176,0.64919751,-1.19379,2.4093,,,,,,,,,,,2.054021519352813,2.0032711424972627,2.1057200106731058,0.0347503236929059,5.0,-2.5371060219318196,3.059658252748045,,,,0.0,0.0,-13.273633433642347,6.246119646524938,-8.04,-4.6,3.4399999999999995,717.9997431827314,-23.99,-1.132325817925325,,,22,47.867,1.54,160,140,2,6.828,0.079,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86422598,0.64919751,0,,,
pristine-TiO2-H2,pristine,h2,-8.116,-4.5332,3.5828,-6.3246,-18951.248,-18931.4702,-18951.248,-0.351,-0.5008,8.116,4.5332,6.3246,1.7914,11.16461012615831,615,-9.1172,-6.3246,0.2791113095902646,18.38491012615831,5.735710126158311,1.765267388634588,451.53,0.0,0.99051,0.99904,0.99952,644.23,0.0,0.99997,1.0,1.0,2.74195696,0.26519775,0.30035028,0.69249501,-1.19379,2.4093,0.12497,0.03053694,0.09443366,0.0639,,,,,,,1.9913593067067492,1.977257936939821,2.005854190606638,0.0116776872988294,3.0,7.473935509659093,3.0755722381731134,0.7578383280757093,2.388321088794237,60.02056790394076,1.0,0.0,-13.26927733617234,6.242869088635224,-8.04,-4.6,3.4399999999999995,718.9997429319285,-23.99,-1.1344345972750691,,,22,47.867,1.54,160,140,2,6.828,0.079,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12226902,0.0432974999999999,0.03559299,0.04337852,2.86422598,0.64919751,0,-0.351,0.0,1.0
Al-TiO2,Al,bare,-7.3515,-4.5014,2.850099999999999,-7.3515,-18927.9129,-18927.9129,-18947.7184,-0.3787,-0.2573,7.3515,4.5014,5.92645,1.42505,12.32336044437037,714,-8.8391,-5.92645,0.3508648819339673,18.96233544437037,7.109435444370375,2.07938317953756,487.16,0.0,0.99675,0.99967,0.99984,330.99,1.0,0.7308,0.96447,0.98191,1.59286288,0.56854272,0.8385944,,-1.20289,2.41039,,,,,13.0,3.0,-1.0,0.0,3.0,1.0,1.6174425022194254,1.601115806289363,1.6274776365268853,0.011645437850828,3.0,6.865180897499997,2.5748026566689277,,,,0.0,5.634772116950001,-13.280419359960296,6.248065631415806,-8.11,-7.35,0.7599999999999998,717.4519817460698,-23.99,-1.1310636987326608,-0.1157024793388429,0.1157024793388429,13,26.982,1.61,121,143,0,5.986,0.441,3,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59286288,,0,,,
Al-TiO2-H2,Al,h2,-7.3494,-4.5014,2.848,-7.3494,-18947.7184,-18927.9129,-18947.7184,-0.3787,-0.2573,7.3494,4.5014,5.9254,1.424,12.32807765449438,715,-8.8393,-5.9254,0.351123595505618,18.96547765449438,7.114677654494383,2.080547752808989,487.16,0.0,0.99675,0.99967,0.99984,330.99,1.0,0.7308,0.96447,0.98191,1.54143524,0.5801632,0.87840156,,-1.20289,2.41039,0.1778,0.08845906,0.08934476,0.00089,13.0,3.0,-1.0,0.0,3.0,1.0,1.6410555228187356,1.6164175774266551,1.6545245407406837,0.0174469456520614,3.0,7.053084757500002,2.664847038157908,0.7745713434014256,1.9404188094151296,42.90798276145693,1.0,5.638767800570003,-13.275525811259248,6.244957903031579,-8.11,-7.34,0.7699999999999996,718.496363868123,-23.99,-1.133115489651138,-0.1157024793388429,0.1157024793388429,13,26.982,1.61,121,143,0,5.986,0.441,3,13,3,-0.0020999999999991,0.0020999999999995,0.0,0.0020999999999995,-0.0010500000000002,-0.0010499999999999,0.00471721012401,0.0002587135716506,1.0,-0.05142764,,0.01162048,0.03980716,1.59286288,,0,-0.3787,0.0,1.0
Fe-TiO2,Fe,bare,-7.0007,-6.4385,0.5621999999999998,-6.7196,-18965.9635,-18965.9635,-18986.1756,-0.7853,-0.2753,7.0007,6.4385,6.7196,0.2810999999999999,80.31487755247245,718,-8.1199,-6.7196,1.778726431874778,87.17502755247247,73.73582755247246,11.95233013162576,,0.0,1.0,1.0,1.0,354.15,1.0,0.84549,0.98205,0.99095,1.63047029,0.46114726,0.33735646,5.57102599,-1.19096,2.40967,,,,,26.0,3.0,-1.0,5.0,8.0,1.0,1.691675985136543,1.6271910151902913,1.7835290125175365,0.0666940790869618,3.0,7.127576901022728,2.6259243490872417,,,,0.0,0.0042003139235039,-13.261506685314554,6.243884789340501,-8.05,-6.49,1.5600000000000005,719.999741494809,-23.99,-1.1344745526379023,0.0661157024793388,0.0661157024793388,26,55.845,1.83,125,126,6,7.902,0.151,4,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63047029,5.57102599,0,,,
Fe-TiO2-H2,Fe,h2,-6.5171,-5.9061,0.6109999999999998,-6.2116,-18985.6656,-18965.9635,-18986.1756,-0.7853,-0.2753,6.5171,5.9061,6.211600000000001,0.3054999999999999,63.14889453355159,719,-8.1199,-6.211600000000001,1.636661211129297,69.51324453355159,57.09004453355158,10.16628477905074,,0.0,1.0,1.0,1.0,354.15,1.0,0.84549,0.98205,0.99095,1.58592267,0.34130974,0.27310622,5.79966137,-1.19096,2.40967,0.38085,0.19246212,0.18838884,0.00407,26.0,3.0,-1.0,5.0,8.0,1.0,1.691675985136543,1.6271910151902913,1.7835290125175365,0.0666940790869618,3.0,7.127576901022728,2.6259243490872417,0.9814761008033752,1.3766452857362192,37.84765958482769,1.0,0.0010221182377279,-13.257462087491142,6.240934170878779,-8.05,-5.96,2.0900000000000007,720.9997337861205,-23.99,-1.136073719261002,0.0661157024793388,0.0661157024793388,26,55.845,1.83,125,126,6,7.902,0.151,4,8,3,0.0487999999999999,0.4836,0.5324,0.508,-0.5079999999999991,0.0243999999999999,-17.165983018920862,-0.1420652207454809,1.0,-0.0445476200000001,0.22863538,-0.11983752,-0.06425024,1.63047029,5.57102599,1,-0.2753,0.0,1.0
Hf-TiO2,Hf,bare,-8.1179,-4.532,3.585900000000001,-6.3249,-18932.0323,-18932.0323,-18951.9676,-0.5085,-0.5169,8.1179,4.532,6.32495,1.79295,11.15619300663711,613,-9.1203,-6.32495,0.2788700186842912,18.37761800663711,5.727718006637106,1.763838924677208,654.13,0.0,0.99998,1.0,1.0,664.94,0.0,0.99999,1.0,1.0,2.86580742,0.27009066,0.20475015,0.65935178,-1.19763,2.40921,,,,,72.0,4.0,0.0,0.0,4.0,0.0,2.0924968620906967,2.0805553141212787,2.1056353943431487,0.0102738238423102,3.0,7.616087072272727,3.2001560009472425,,,,0.0,0.0,-13.273980642885965,6.245991660324153,-8.05,-4.6,3.450000000000001,717.9997441864903,-23.99,-1.1323019578836069,0.1735537190082643,0.1735537190082643,72,178.49,1.3,175,156,2,6.825,0.0,6,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86580742,0.65935178,0,,,
Hf-TiO2-H2,Hf,h2,-8.1172,-4.5286,3.5886,-6.3229,-18951.9676,-18932.0323,-18951.9676,-0.5085,-0.5169,8.1172,4.5286,6.322900000000001,1.7943,11.14057415426629,614,-9.1192,-6.322900000000001,0.278660201749986,18.36062415426629,5.714824154266287,1.761940589644987,654.13,0.0,0.99998,1.0,1.0,664.94,0.0,0.99999,1.0,1.0,2.69857144,0.31958179,0.26325789,0.71858889,-1.19763,2.40921,0.17738,0.08800813,0.08937546,0.00137,72.0,4.0,0.0,0.0,4.0,0.0,2.093493211012243,2.082110560899473,2.1082795749347203,0.0109512031201458,3.0,7.620739720909086,3.200111763556464,0.775681709753405,2.2079455423621037,46.34868536371553,1.0,0.0,-13.269670096024312,6.242754034210239,-8.05,-4.6,3.450000000000001,718.9997441987921,-23.99,-1.134396294413813,0.1735537190082643,0.1735537190082643,72,178.49,1.3,175,156,2,6.825,0.0,6,4,4,0.002699999999999,0.0007000000000001,0.0034,0.0020000000000006,-0.0020499999999996,0.0013499999999999,-0.0156188523708209,-0.0002098169343051,1.0,-0.16723598,0.0592371099999999,0.0494911299999999,0.05850774,2.86580742,0.65935178,0,-0.5085,0.0,1.0
La-TiO2,La,bare,-8.1148,-4.5335,3.581300000000001,-8.0897,-18924.8327,-18924.8327,-18944.6012,-0.3417,-0.315,8.1148,4.5335,6.32415,1.79065,11.16769698782565,615,-9.1157,-6.32415,0.2792282132186636,18.38717198782565,5.738871987825649,1.765881104626811,439.56,0.0,0.98642,0.99862,0.99931,405.22,0.0,0.96251,0.99612,0.99806,,,,,,,,,,,57.0,3.0,-1.0,0.0,3.0,1.0,2.6024130427653236,2.4984923842145266,2.8789142587708185,0.1286376596755249,1.0,7.443844063977274,3.270071171307339,,,,0.0,11.803346158830074,-13.2792959466439,6.247209540075762,-8.09,-8.08,0.0099999999999997,717.2711613014413,-23.99,-1.1309146887762012,0.7057851239669422,0.7057851239669422,57,138.905,1.1,207,187,1,5.577,0.47,6,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,
La-TiO2-H2,La,h2,-8.1087,-4.5309,3.577800000000001,-8.0862,-18944.6012,-18924.8327,-18944.6012,-0.3417,-0.315,8.1087,4.5309,6.319800000000001,1.7889,11.16324893509978,619,-9.1094,-6.319800000000001,0.2795013695567108,18.37749893509978,5.73789893509978,1.766392755324501,439.56,0.0,0.98642,0.99862,0.99931,405.22,0.0,0.96251,0.99612,0.99806,,,,,,,,,,,57.0,3.0,-1.0,0.0,3.0,1.0,2.5452993135661384,2.4976131857037744,2.593565188357444,0.0401968772028243,1.0,7.544813350681814,3.301234601140923,0.7662473067467468,2.6054300288680765,56.638157273759994,1.0,11.80104277021999,-13.275175335849802,6.2440295619862205,-8.09,-8.08,0.0099999999999997,718.2292269574555,-23.99,-1.1329657883388915,0.7057851239669422,0.7057851239669422,57,138.905,1.1,207,187,1,5.577,0.47,6,3,3,-0.0034999999999998,0.0060999999999999,0.0026000000000001,0.0035000000000007,-0.0043499999999996,-0.0017500000000001,-0.0044480527258699,0.0002731563380471,4.0,,,,,,,0,-0.3417,0.0,1.0
